Name_Manga;Name_Char;Role_Char;Url_Char
Monster;Heinemann, Eva;Supporting;https://myanimelist.net/character/6123/Eva_Heinemann
Monster;Dieter;Supporting;https://myanimelist.net/character/6329/Dieter
Monster;Reest, Martin;Supporting;https://myanimelist.net/character/12117/Martin_Reest
Monster;Reichwein, Julius;Supporting;https://myanimelist.net/character/11080/Julius_Reichwein
Monster;Roberto;Supporting;https://myanimelist.net/character/8611/Roberto
Oyasumi Punpun;Onodera, Punpun;Main;https://myanimelist.net/character/17706/Punpun_Onodera
Oyasumi Punpun;Tanaka, Aiko;Main;https://myanimelist.net/character/22726/Aiko_Tanaka
Oyasumi Punpun;Nanjou, Sachi;Supporting;https://myanimelist.net/character/58443/Sachi_Nanjou
Oyasumi Punpun;Seki, Masumi;Supporting;https://myanimelist.net/character/58561/Masumi_Seki
Oyasumi Punpun;Onodera, Yuuichi;Supporting;https://myanimelist.net/character/21954/Yuuichi_Onodera
Oyasumi Punpun;God;Supporting;https://myanimelist.net/character/17703/God
Oyasumi Punpun;Shimizu, Kou;Supporting;https://myanimelist.net/character/22653/Kou_Shimizu
Oyasumi Punpun;Hoshikawa, Toshiki;Supporting;https://myanimelist.net/character/76836/Toshiki_Hoshikawa
Oyasumi Punpun;Punyama, Mother;Supporting;https://myanimelist.net/character/22728/Mother_Punyama
Oyasumi Punpun;Yaguchi, Takao;Supporting;https://myanimelist.net/character/32779/Takao_Yaguchi
One Piece;Monkey D., Luffy;Main;https://myanimelist.net/character/40/Luffy_Monkey_D
One Piece;Roronoa, Zoro;Main;https://myanimelist.net/character/62/Zoro_Roronoa
One Piece;Sanji;Main;https://myanimelist.net/character/305/Sanji
One Piece;Nico, Robin;Main;https://myanimelist.net/character/61/Robin_Nico
One Piece;Tony Tony, Chopper;Main;https://myanimelist.net/character/309/Chopper_Tony_Tony
One Piece;Nami;Main;https://myanimelist.net/character/723/Nami
One Piece;Usopp;Main;https://myanimelist.net/character/724/Usopp
One Piece;Brook;Main;https://myanimelist.net/character/5627/Brook
One Piece;Franky;Main;https://myanimelist.net/character/64/Franky
One Piece;Jinbe;Main;https://myanimelist.net/character/18938/Jinbe
Made in Abyss;Nanachi;Main;https://myanimelist.net/character/140060/Nanachi
Made in Abyss;Regu;Main;https://myanimelist.net/character/140046/Regu
Made in Abyss;Riko;Main;https://myanimelist.net/character/137239/Riko
Made in Abyss;Ouzen;Supporting;https://myanimelist.net/character/140106/Ouzen
Made in Abyss;Bondrewd;Supporting;https://myanimelist.net/character/151195/Bondrewd
Made in Abyss;Mitty;Supporting;https://myanimelist.net/character/153888/Mitty
Made in Abyss;Lyza;Supporting;https://myanimelist.net/character/151215/Lyza
Made in Abyss;Maruruk;Supporting;https://myanimelist.net/character/153650/Maruruk
Made in Abyss;Prushka;Supporting;https://myanimelist.net/character/151720/Prushka
Made in Abyss;Jiruo;Supporting;https://myanimelist.net/character/151699/Jiruo
20th Century Boys;Endo, Kenji;Main;https://myanimelist.net/character/3442/Kenji_Endo
20th Century Boys;Friend;Main;https://myanimelist.net/character/14314/Friend
20th Century Boys;Endo, Kanna;Main;https://myanimelist.net/character/9730/Kanna_Endo
20th Century Boys;Ochiai, Chouji;Supporting;https://myanimelist.net/character/6004/Chouji_Ochiai
20th Century Boys;Sada, Kiyoshi;Supporting;https://myanimelist.net/character/27225/Kiyoshi_Sada
20th Century Boys;Koizumi, Kyoko;Supporting;https://myanimelist.net/character/38517/Kyoko_Koizumi
20th Century Boys;Minamoto, Yoshitsune;Supporting;https://myanimelist.net/character/20072/Yoshitsune_Minamoto
20th Century Boys;Hattori, Fukubei;Supporting;https://myanimelist.net/character/21461/Fukubei_Hattori
20th Century Boys;Kaminaga, Kyuutaro;Supporting;https://myanimelist.net/character/8116/Kyuutaro_Kaminaga
20th Century Boys;Setoguchi, Yukiji;Supporting;https://myanimelist.net/character/7271/Yukiji_Setoguchi
Vagabond;Miyamoto, Musashi;Main;https://myanimelist.net/character/6194/Musashi_Miyamoto
Vagabond;Sasaki, Kojirou;Main;https://myanimelist.net/character/10731/Kojirou_Sasaki
Vagabond;Honiden, Matahachi;Main;https://myanimelist.net/character/8134/Matahachi_Honiden
Vagabond;Takuan, Soho;Supporting;https://myanimelist.net/character/14182/Soho_Takuan
Vagabond;Otsu;Supporting;https://myanimelist.net/character/9482/Otsu
Vagabond;Shishido, Baiken;Supporting;https://myanimelist.net/character/10836/Baiken_Shishido
Vagabond;Kanemaki, Jisai;Supporting;https://myanimelist.net/character/25810/Jisai_Kanemaki
Vagabond;Yoshioka, Seijuro;Supporting;https://myanimelist.net/character/14183/Seijuro_Yoshioka
Vagabond;Itou, Ittousai;Supporting;https://myanimelist.net/character/24309/Ittousai_Itou
Vagabond;Inshun;Supporting;https://myanimelist.net/character/22926/Inshun
Kingdom;Li, Xin;Main;https://myanimelist.net/character/64573/Xin_Li
Kingdom;Lei, Qiang;Main;https://myanimelist.net/character/65445/Qiang_Lei
