Name_Eng;Genre
Vinland Saga;Seinen
Akira;Action
Akira;Sci-Fi
Akira;Seinen
Monogatari Series: Final Season;Comedy
Monogatari Series: Final Season;Mystery
Monogatari Series: Final Season;Vampire
Monogatari Series: Final Season;Supernatural
Kino no Tabi: The Beautiful World;Adventure
Kino no Tabi: The Beautiful World;Mystery
Kino no Tabi: The Beautiful World;Drama
Kino no Tabi: The Beautiful World;Fantasy
Kino no Tabi: The Beautiful World;Sci-Fi
Kino no Tabi: The Beautiful World;Psychological
Bastard;Mystery
Bastard;Drama
Bastard;Horror
Bastard;Romance
Bastard;Psychological
Real;Drama
Real;Sports
Real;Psychological
Real;Seinen
Nana;Drama
Nana;Music
Nana;Romance
Nana;Shoujo
Nana;Slice
Beck;Comedy
Beck;Drama
Beck;Music
Beck;Romance
Beck;Shounen
Beck;Slice
Shigatsu wa Kimi no Uso;Drama
Shigatsu wa Kimi no Uso;Music
Shigatsu wa Kimi no Uso;Romance
Shigatsu wa Kimi no Uso;School
Shigatsu wa Kimi no Uso;Shounen
Umineko no Naku Koro ni Chiru;Mystery
Umineko no Naku Koro ni Chiru;Fantasy
Umineko no Naku Koro ni Chiru;Horror
Umineko no Naku Koro ni Chiru;Supernatural
Umineko no Naku Koro ni Chiru;Psychological
Umineko no Naku Koro ni Chiru;Thriller
Rurouni Kenshin: Meiji Kenkaku Romantan;Action
Rurouni Kenshin: Meiji Kenkaku Romantan;Drama
Rurouni Kenshin: Meiji Kenkaku Romantan;Historical
Rurouni Kenshin: Meiji Kenkaku Romantan;Samurai
Rurouni Kenshin: Meiji Kenkaku Romantan;Shounen
Hunter x Hunter;Action
Hunter x Hunter;Adventure
Hunter x Hunter;Fantasy
Hunter x Hunter;Shounen
Hunter x Hunter;Super
Aria;Adventure
Aria;Comedy
Aria;Drama
Aria;Sci-Fi
Aria;Shounen
Aria;Slice
Zaregoto Series;Action
Zaregoto Series;Mystery
Zaregoto Series;Drama
Zaregoto Series;Supernatural
